"","Policy.Number","Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender.Dummy","Married.Dummy","Vehicle.Age","Fuel.Type.Dummy","cluster","clusterfactor"
"4627",191513,62,43,2,0,0,8,0,3,"3"
"4628",199026,70,52,2,0,1,13,0,3,"3"
"4629",167021,23,6,2,0,0,10,0,1,"1"
"4630",106957,25,7,2,0,1,10,1,1,"1"
"4631",180989,18,0,2,1,1,15,0,1,"1"
"4632",198426,61,42,2,1,1,6,0,3,"3"
"4633",139290,65,45,2,1,1,6,1,3,"3"
"4634",122176,16,0,2,1,1,9,1,1,"1"
"4635",144488,34,14,2,1,0,7,0,2,"2"
"4636",123078,43,23,2,0,1,15,0,2,"2"
"4637",118790,19,0,2,0,1,10,0,1,"1"
"4638",110090,60,39,2,0,1,6,0,3,"3"
"4639",107300,23,4,2,1,0,5,1,1,"1"
"4640",129838,45,24,2,0,0,3,1,2,"2"
"4641",162333,21,4,2,1,1,14,1,1,"1"
"4642",136691,38,20,2,0,0,4,0,2,"2"
"4643",109599,16,0,2,0,1,11,0,1,"1"
"4644",103121,58,37,2,1,1,0,1,3,"3"
"4645",145064,68,50,2,1,1,10,0,3,"3"
"4646",149385,64,47,2,0,0,8,0,3,"3"
"4647",165710,34,16,2,0,1,9,0,2,"2"
"4648",149131,43,24,2,0,1,2,0,2,"2"
"4649",165671,53,33,2,0,0,12,0,2,"2"
"4650",183339,27,8,2,0,1,3,1,1,"1"
"4651",127143,16,0,2,0,1,15,1,1,"1"
"4652",112888,26,6,2,1,0,6,0,1,"1"
"4653",148492,42,22,2,1,1,3,1,2,"2"
"4654",110883,50,29,2,1,1,11,1,2,"2"
"4655",151022,25,8,2,0,0,13,0,1,"1"
"4656",122547,53,34,2,0,0,7,0,3,"3"
"4657",168702,67,50,2,1,0,7,0,3,"3"
"4658",137669,47,28,2,0,0,10,0,2,"2"
"4659",170555,34,16,2,1,1,12,0,2,"2"
"4660",113393,67,48,2,1,1,5,0,3,"3"
"4661",148015,47,30,2,0,1,0,1,2,"2"
"4662",106836,48,27,2,0,0,1,1,2,"2"
"4663",104883,66,47,2,0,0,6,0,3,"3"
"4664",118965,50,31,2,0,1,8,0,2,"2"
"4665",100639,34,14,2,1,0,5,1,2,"2"
"4666",121255,21,4,2,0,1,15,1,1,"1"
"4667",176075,60,40,2,0,0,13,0,3,"3"
"4668",127229,55,34,2,0,1,8,0,3,"3"
"4669",148796,19,0,2,1,1,12,1,1,"1"
"4670",173362,60,40,2,1,0,13,0,3,"3"
"4671",146355,52,35,2,1,0,1,0,3,"3"
"4672",147429,20,3,2,0,1,15,0,1,"1"
"4673",194417,30,11,2,1,0,15,0,1,"1"
"4674",155424,68,49,2,0,1,12,0,3,"3"
"4675",106599,68,51,2,1,1,6,0,3,"3"
"4676",181462,36,17,2,1,0,12,0,2,"2"
"4677",173292,60,43,2,0,1,8,0,3,"3"
"4678",150352,69,49,2,0,1,4,0,3,"3"
"4679",188208,42,22,2,0,0,5,1,2,"2"
"4680",107019,56,36,2,0,0,6,0,3,"3"
"4681",160191,24,7,2,0,1,9,1,1,"1"
"4682",118528,20,2,2,0,0,12,0,1,"1"
"4683",189563,61,42,2,0,1,14,0,3,"3"
"4684",179975,69,49,2,1,1,6,0,3,"3"
"4685",166472,17,0,2,1,0,11,0,1,"1"
"4686",192456,43,23,2,1,0,14,0,2,"2"
"4687",117425,16,0,2,1,1,4,1,1,"1"
"4688",125254,28,8,2,0,0,9,0,1,"1"
"4689",158478,17,0,2,1,0,12,1,1,"1"
"4690",127244,66,47,2,1,0,7,0,3,"3"
"4691",140895,24,5,2,0,1,11,1,1,"1"
"4692",182237,22,4,2,1,1,2,1,1,"1"
"4693",136940,21,2,2,0,0,11,0,1,"1"
"4694",107595,56,39,2,0,0,8,0,3,"3"
"4695",197780,33,14,2,0,0,14,0,1,"1"
"4696",164174,35,15,2,1,0,9,0,2,"2"
"4697",118785,28,8,2,1,1,10,0,1,"1"
"4698",117546,17,0,2,0,0,14,0,1,"1"
"4699",106026,62,42,2,1,1,8,0,3,"3"
"4700",117868,19,2,2,1,0,10,0,1,"1"
"4701",187987,58,39,2,0,1,14,0,3,"3"
"4702",139112,37,19,2,0,1,12,0,2,"2"
"4703",131994,65,45,2,0,0,13,0,3,"3"
"4704",150149,51,31,2,0,0,12,0,2,"2"
"4705",133232,55,36,2,0,0,14,0,3,"3"
"4706",160087,26,7,2,0,1,0,1,1,"1"
"4707",131422,64,44,2,1,0,4,0,3,"3"
"4708",142718,39,22,2,1,0,15,0,2,"2"
"4709",100408,22,5,2,1,0,13,0,1,"1"
"4710",182239,49,32,2,1,1,6,0,2,"2"
"4711",177768,62,44,2,0,1,10,0,3,"3"
"4712",189122,25,6,2,0,1,6,0,1,"1"
"4713",196363,16,0,2,1,1,14,0,1,"1"
"4714",188301,22,5,2,0,0,1,1,1,"1"
"4715",144348,53,35,2,0,0,10,0,3,"3"
"4716",180739,68,48,2,1,1,9,0,3,"3"
"4717",164389,61,41,2,1,1,11,0,3,"3"
"4718",155619,59,42,2,1,1,11,1,3,"3"
"4719",145692,19,1,2,0,1,0,1,1,"1"
"4720",145700,68,51,2,0,1,8,0,3,"3"
"4721",170694,21,2,2,1,0,14,0,1,"1"
"4722",153192,24,5,2,0,1,14,0,1,"1"
"4723",129981,17,0,2,0,0,8,0,1,"1"
"4724",197785,25,8,2,1,1,15,0,1,"1"
"4725",195513,41,24,2,1,0,10,0,2,"2"
"4726",180475,17,0,2,1,0,7,1,1,"1"
"4727",116665,63,46,2,1,0,11,0,3,"3"
"4728",194917,57,39,2,0,1,5,0,3,"3"
"4729",109664,17,0,2,1,0,6,1,1,"1"
"4730",102623,31,12,2,0,1,7,0,1,"1"
"4731",183726,16,0,2,1,0,13,0,1,"1"
"4732",175685,27,9,2,0,1,13,0,1,"1"
"4733",125869,16,0,2,0,1,4,1,1,"1"
"4734",189584,22,5,2,0,0,13,0,1,"1"
"4735",171919,69,48,2,0,1,6,0,3,"3"
"4736",198244,67,50,2,0,0,11,0,3,"3"
"4737",159347,31,14,2,1,1,12,0,1,"1"
"4738",177116,37,16,2,1,0,9,0,2,"2"
"4739",158680,34,13,2,0,1,15,0,1,"1"
"4740",168240,65,48,2,1,1,15,0,3,"3"
"4741",186942,63,42,2,1,0,6,0,3,"3"
"4742",111933,23,6,2,1,1,13,1,1,"1"
"4743",105915,21,2,2,1,1,6,1,1,"1"
"4744",167605,43,23,2,1,0,6,0,2,"2"
"4745",129739,53,36,2,0,0,1,0,3,"3"
"4746",173236,26,9,2,0,1,0,1,1,"1"
"4747",172782,25,6,2,1,0,6,1,1,"1"
"4748",100171,19,0,2,0,0,14,0,1,"1"
"4749",112711,59,38,2,1,0,2,0,3,"3"
"4750",183420,68,51,2,1,1,0,0,3,"3"
"4751",176335,20,1,2,0,0,11,0,1,"1"
"4752",171213,21,3,2,1,1,9,1,1,"1"
"4753",194506,63,44,2,1,1,10,0,3,"3"
"4754",122533,19,1,2,0,0,13,0,1,"1"
"4755",143309,37,18,2,0,0,5,0,2,"2"
"4756",187942,35,15,2,1,0,6,0,2,"2"
"4757",137836,22,5,2,1,1,11,1,1,"1"
"4758",131291,67,46,2,0,0,10,0,3,"3"
"4759",184497,68,50,2,1,1,9,0,3,"3"
"4760",198115,69,51,2,0,0,4,0,3,"3"
"4761",171140,69,51,2,1,0,5,0,3,"3"
"4762",129628,23,6,2,0,0,15,0,1,"1"
"4763",134636,46,29,2,0,1,3,0,2,"2"
"4764",192288,68,51,2,1,0,12,0,3,"3"
"4765",188178,67,48,2,0,1,14,0,3,"3"
"4766",151901,36,15,2,0,1,13,0,2,"2"
"4767",175026,61,44,2,1,0,15,0,3,"3"
"4768",149785,65,45,2,0,0,9,0,3,"3"
"4769",121972,69,50,2,1,0,3,0,3,"3"
"4770",110271,17,0,2,0,0,15,0,1,"1"
"4771",150300,16,0,2,0,0,13,0,1,"1"
"4772",104824,16,0,2,0,0,14,0,1,"1"
"4773",184598,20,1,2,0,0,9,0,1,"1"
"4774",123406,63,46,2,0,0,9,0,3,"3"
"4775",128056,29,12,2,0,1,8,0,1,"1"
"4776",107252,61,43,2,0,0,10,0,3,"3"
"4777",131959,54,33,2,0,0,11,0,3,"3"
"4778",125317,68,51,2,1,1,5,0,3,"3"
"4779",132369,30,13,2,0,0,4,0,1,"1"
"4780",177728,63,46,2,1,1,7,0,3,"3"
"4781",160549,61,42,2,0,0,6,0,3,"3"
"4782",181830,58,40,2,1,1,0,1,3,"3"
"4783",171854,28,8,2,0,0,13,0,1,"1"
"4784",104634,58,41,2,1,0,7,0,3,"3"
"4785",101713,62,41,2,0,1,13,0,3,"3"
"4786",152608,36,19,2,0,1,10,0,2,"2"
"4787",154436,21,2,2,1,0,15,0,1,"1"
"4788",179951,47,27,2,0,1,1,1,2,"2"
"4789",198289,51,32,2,0,0,1,0,2,"2"
"4790",148193,46,26,2,0,1,4,1,2,"2"
"4791",179014,63,43,2,0,0,12,0,3,"3"
"4792",102086,69,52,2,1,0,15,0,3,"3"
"4793",176351,70,50,2,1,1,9,0,3,"3"
"4794",132666,16,0,2,0,0,14,0,1,"1"
"4795",145160,19,1,2,1,1,12,1,1,"1"
"4796",100744,60,43,2,1,1,11,0,3,"3"
"4797",138460,23,4,2,0,0,14,0,1,"1"
"4798",197486,25,7,2,1,0,12,1,1,"1"
"4799",168707,21,2,2,1,1,10,1,1,"1"
"4800",185249,25,7,2,0,1,11,1,1,"1"
"4801",193331,16,0,2,0,0,8,0,1,"1"
"4802",171831,19,1,2,1,0,6,1,1,"1"
"4803",107853,16,0,2,1,0,11,0,1,"1"
"4804",161457,29,9,2,0,1,10,0,1,"1"
"4805",171425,26,6,2,0,1,0,1,1,"1"
"4806",182401,58,40,2,0,0,6,0,3,"3"
"4807",154873,26,5,2,0,1,0,1,1,"1"
"4808",117311,25,7,2,0,0,13,0,1,"1"
"4809",147072,36,16,2,1,0,14,0,2,"2"
"4810",191778,18,0,2,1,0,9,0,1,"1"
"4811",106894,24,6,2,1,0,12,0,1,"1"
"4812",182444,69,49,2,0,1,0,0,3,"3"
"4813",158699,37,16,2,0,0,10,0,2,"2"
"4814",101619,68,47,2,0,0,1,0,3,"3"
"4815",171500,28,8,2,1,0,9,0,1,"1"
"4816",170694,18,0,2,0,0,15,0,1,"1"
"4817",168299,49,30,2,1,0,7,0,2,"2"
"4818",129054,61,44,2,1,1,9,0,3,"3"
"4819",108413,44,25,2,0,1,9,0,2,"2"
"4820",118323,24,6,2,1,1,11,1,1,"1"
"4821",124034,65,47,2,0,0,0,0,3,"3"
"4822",125763,21,4,2,0,0,14,0,1,"1"
"4823",137799,23,4,2,0,0,12,0,1,"1"
"4824",173815,60,43,2,0,1,1,1,3,"3"
"4825",110498,30,9,2,1,1,13,0,1,"1"
"4826",116419,23,5,2,1,1,11,1,1,"1"
"4827",192102,69,52,2,0,0,7,0,3,"3"
"4828",149627,66,45,2,1,0,6,0,3,"3"
"4829",107638,38,17,2,1,1,2,1,2,"2"
"4830",114186,61,41,2,1,0,8,0,3,"3"
"4831",118460,65,46,2,1,0,2,0,3,"3"
"4832",173285,19,0,2,1,0,13,0,1,"1"
"4833",169052,16,0,2,1,1,14,0,1,"1"
"4834",179398,41,24,2,1,0,7,0,2,"2"
"4835",108729,39,22,2,1,0,2,0,2,"2"
"4836",126589,23,4,2,0,0,8,1,1,"1"
"4837",158528,44,26,2,1,0,0,1,2,"2"
"4838",116480,33,13,2,1,0,7,0,1,"1"
"4839",191498,18,1,2,1,0,12,0,1,"1"
"4840",186896,37,18,2,0,0,3,0,2,"2"
"4841",173815,24,7,2,0,0,4,1,1,"1"
"4842",188932,70,53,2,0,0,12,0,3,"3"
"4843",103823,29,8,2,0,0,12,0,1,"1"
"4844",110506,70,50,2,1,1,7,0,3,"3"
"4845",112870,42,22,2,1,0,6,0,2,"2"
"4846",132331,34,15,2,1,1,8,0,2,"2"
"4847",106404,60,41,2,0,1,10,0,3,"3"
"4848",131113,69,49,2,1,1,8,0,3,"3"
"4849",173821,54,37,2,0,0,4,0,3,"3"
"4850",180958,20,3,2,0,0,12,0,1,"1"
"4851",180425,18,1,2,0,0,14,0,1,"1"
"4852",112065,35,18,2,0,0,11,0,2,"2"
"4853",148352,33,16,2,0,1,12,0,2,"2"
"4854",173506,70,53,2,1,0,8,0,3,"3"
"4855",189302,65,47,2,1,1,7,0,3,"3"
"4856",134669,55,34,2,1,1,5,1,3,"3"
"4857",164563,17,0,2,0,0,14,0,1,"1"
"4858",141018,56,35,2,0,0,10,0,3,"3"
"4859",152593,31,10,2,0,1,8,0,1,"1"
"4860",120215,35,18,2,1,0,8,0,2,"2"
"4861",165566,38,20,2,0,1,14,0,2,"2"
"4862",149808,67,50,2,0,0,15,0,3,"3"
"4863",168782,21,2,2,1,1,15,1,1,"1"
"4864",186875,66,48,2,0,0,5,0,3,"3"
"4865",192468,32,12,2,1,1,3,0,1,"1"
"4866",124718,68,51,2,1,0,7,0,3,"3"
"4867",140847,39,22,2,0,1,14,0,2,"2"
"4868",108141,21,3,2,1,0,4,1,1,"1"
"4869",132046,39,18,2,0,0,10,0,2,"2"
"4870",139857,40,20,2,1,0,4,0,2,"2"
"4871",190609,34,15,2,1,1,1,1,2,"2"
"4872",112294,57,40,2,0,1,9,0,3,"3"
"4873",110675,52,31,2,1,0,5,1,2,"2"
"4874",114872,29,9,2,0,1,0,1,1,"1"
"4875",145428,31,12,2,0,0,8,0,1,"1"
"4876",168964,26,6,2,0,1,7,0,1,"1"
"4877",105080,32,12,2,0,1,8,0,1,"1"
"4878",155539,29,11,2,1,0,7,0,1,"1"
"4879",160279,50,33,2,1,1,12,0,2,"2"
"4880",146826,64,45,2,0,0,2,0,3,"3"
"4881",196535,18,0,2,0,0,11,0,1,"1"
"4882",188652,52,31,2,1,1,10,0,2,"2"
"4883",184791,68,48,2,0,0,7,0,3,"3"
"4884",145682,35,18,2,0,1,7,0,2,"2"
"4885",140955,62,42,2,1,1,3,1,3,"3"
"4886",152969,57,37,2,0,0,15,0,3,"3"
"4887",143164,55,38,2,0,0,9,0,3,"3"
"4888",181558,52,32,2,0,1,9,0,2,"2"
"4889",145803,22,5,2,0,0,14,0,1,"1"
"4890",151462,36,17,2,0,1,7,0,2,"2"
"4891",111320,46,25,2,0,1,6,0,2,"2"
"4892",181824,21,3,2,0,0,14,0,1,"1"
"4893",134497,62,43,2,0,0,8,0,3,"3"
"4894",139359,30,10,2,0,1,0,1,1,"1"
"4895",111806,17,0,2,0,1,12,1,1,"1"
"4896",197144,31,12,2,0,1,2,1,1,"1"
"4897",161819,55,37,2,0,1,7,0,3,"3"
"4898",171371,26,7,2,0,0,8,0,1,"1"
"4899",173747,28,8,2,0,0,9,0,1,"1"
"4900",181025,60,43,2,0,1,7,0,3,"3"
"4901",193285,53,36,2,1,0,12,0,3,"3"
"4902",145953,27,6,2,1,0,3,1,1,"1"
"4903",145073,68,48,2,1,1,3,1,3,"3"
"4904",137172,28,7,2,0,0,6,0,1,"1"
"4905",101374,45,25,2,0,0,10,0,2,"2"
"4906",105127,18,0,2,0,1,1,1,1,"1"
"4907",150270,51,33,2,1,0,0,0,2,"2"
"4908",125215,55,37,2,1,1,6,0,3,"3"
"4909",155250,29,8,2,0,1,3,1,1,"1"
"4910",153914,57,38,2,1,0,15,0,3,"3"
"4911",104772,18,1,2,1,1,13,1,1,"1"
"4912",199174,23,6,2,1,1,14,1,1,"1"
"4913",122545,62,41,2,0,1,3,0,3,"3"
"4914",107254,16,0,2,1,1,12,1,1,"1"
"4915",163489,43,23,2,0,0,4,0,2,"2"
"4916",128414,65,45,2,0,1,8,0,3,"3"
"4917",139147,24,5,2,0,1,11,0,1,"1"
"4918",128135,47,29,2,1,0,10,0,2,"2"
"4919",193990,55,38,2,1,1,7,0,3,"3"
"4920",133861,33,14,2,0,1,1,1,2,"2"
"4921",173441,40,22,2,1,1,1,0,2,"2"
"4922",158623,56,38,2,1,0,10,0,3,"3"
"4923",164085,63,42,2,1,1,9,0,3,"3"
"4924",154574,27,8,2,1,1,10,1,1,"1"
"4925",133065,29,8,2,1,1,1,1,1,"1"
"4926",113024,16,0,2,0,0,6,0,1,"1"
"4927",117920,50,29,2,1,0,10,0,2,"2"
"4928",140137,63,45,2,1,1,0,1,3,"3"
"4929",185248,61,44,2,1,1,15,0,3,"3"
"4930",168274,17,0,2,1,1,10,1,1,"1"
"4931",110704,16,0,2,0,1,8,1,1,"1"
"4932",107709,25,7,2,1,0,4,1,1,"1"
"4933",179728,31,13,2,1,1,9,0,1,"1"
"4934",172810,25,8,2,1,0,15,0,1,"1"
"4935",188172,24,6,2,0,1,14,0,1,"1"
"4936",136603,21,4,2,0,1,12,0,1,"1"
"4937",179725,57,39,2,1,1,12,0,3,"3"
"4938",114528,52,32,2,1,1,5,1,2,"2"
"4939",181743,18,1,2,1,0,13,0,1,"1"
"4940",164893,16,0,2,1,1,12,1,1,"1"
"4941",158707,22,3,2,0,1,12,0,1,"1"
"4942",199665,22,5,2,1,1,15,0,1,"1"
"4943",167409,70,51,2,1,0,6,0,3,"3"
"4944",187382,62,44,2,1,1,4,1,3,"3"
"4945",109235,34,17,2,0,1,7,0,2,"2"
"4946",123853,34,15,2,1,1,1,1,2,"2"
"4947",192198,67,48,2,0,0,7,0,3,"3"
"4948",103675,22,3,2,0,1,11,1,1,"1"
"4949",157863,70,53,2,1,1,6,0,3,"3"
"4950",163315,68,50,2,0,1,15,0,3,"3"
"4951",137795,23,5,2,0,1,12,0,1,"1"
"4952",153728,20,2,2,0,1,11,0,1,"1"
"4953",175027,49,30,2,0,0,1,0,2,"2"
"4954",190163,30,12,2,1,0,8,0,1,"1"
"4955",124306,51,31,2,0,0,14,0,2,"2"
"4956",174920,19,1,2,1,0,11,0,1,"1"
"4957",132403,29,8,2,1,0,0,1,1,"1"
"4958",133134,23,4,2,0,0,10,0,1,"1"
"4959",176287,64,46,2,0,1,13,0,3,"3"
"4960",153590,57,36,2,0,1,10,0,3,"3"
"4961",114783,66,47,2,1,1,0,0,3,"3"
"4962",195099,25,7,2,1,0,15,0,1,"1"
"4963",147780,35,14,2,1,0,5,1,2,"2"
"4964",191767,69,49,2,1,1,0,0,3,"3"
"4965",131453,44,23,2,0,1,6,0,2,"2"
"4966",181023,38,19,2,0,1,8,0,2,"2"
"4967",182149,70,49,2,1,0,2,0,3,"3"
"4968",177563,65,46,2,0,0,10,0,3,"3"
"4969",145578,19,1,2,0,0,9,0,1,"1"
"4970",106529,68,48,2,0,1,0,0,3,"3"
"4971",111562,67,48,2,1,0,12,0,3,"3"
"4972",187862,41,21,2,0,1,10,0,2,"2"
"4973",132184,51,30,2,1,1,7,0,2,"2"
"4974",198860,62,42,2,1,1,10,0,3,"3"
"4975",106602,50,29,2,1,1,10,0,2,"2"
"4976",134841,70,52,2,0,1,12,0,3,"3"
"4977",128214,69,49,2,0,0,3,0,3,"3"
"4978",191525,56,36,2,1,0,12,0,3,"3"
"4979",176393,60,39,2,0,1,1,0,3,"3"
"4980",173354,19,0,2,0,1,15,0,1,"1"
"4981",139838,25,8,2,0,0,15,0,1,"1"
"4982",176413,47,27,2,0,1,11,0,2,"2"
"4983",187364,18,0,2,0,1,15,0,1,"1"
"4984",177610,26,9,2,0,0,15,0,1,"1"
"4985",146752,63,44,2,0,0,5,0,3,"3"
"4986",136007,25,8,2,1,0,1,1,1,"1"
"4987",150125,46,28,2,0,1,9,0,2,"2"
"4988",148054,68,48,2,0,0,14,0,3,"3"
"4989",133053,25,6,2,1,1,10,1,1,"1"
"4990",127185,34,17,2,1,0,4,0,2,"2"
"4991",115671,31,14,2,1,0,13,0,1,"1"
"4992",117230,24,7,2,0,0,11,0,1,"1"
"4993",125019,27,8,2,0,1,12,0,1,"1"
"4994",154128,20,1,2,0,0,12,0,1,"1"
"4995",186767,31,10,2,0,1,7,0,1,"1"
"4996",173632,36,17,2,0,1,12,0,2,"2"
"4997",124820,17,0,2,1,0,12,0,1,"1"
"4998",150319,17,0,2,1,0,11,0,1,"1"
"4999",167980,44,25,2,1,1,2,1,2,"2"
"5000",188340,19,2,2,1,1,8,1,1,"1"
"5001",163041,41,22,2,0,0,14,0,2,"2"
"5002",158622,49,32,2,0,1,15,0,2,"2"
"5003",195939,22,4,2,1,0,12,0,1,"1"
"5004",191565,21,3,2,1,1,10,1,1,"1"
"5005",134294,63,44,2,1,0,6,0,3,"3"
"5006",128390,22,3,2,0,0,12,0,1,"1"
"5007",189874,30,13,2,1,0,7,0,1,"1"
"5008",182186,47,29,2,1,0,1,1,2,"2"
"5009",191795,47,29,2,0,0,3,0,2,"2"
"5010",132688,17,0,2,1,0,8,1,1,"1"
"5011",168145,30,13,2,1,0,11,0,1,"1"
"5012",119820,63,44,2,0,0,3,0,3,"3"
"5013",195928,24,6,2,0,1,0,1,1,"1"
"5014",148886,24,5,2,1,0,12,0,1,"1"
"5015",127388,67,49,2,1,1,14,0,3,"3"
"5016",177730,52,32,2,0,0,0,0,2,"2"
"5017",172118,29,8,2,0,0,15,0,1,"1"
"5018",143938,68,47,2,0,1,6,0,3,"3"
"5019",141578,51,32,2,0,1,15,0,2,"2"
"5020",183729,62,41,2,1,0,14,0,3,"3"
"5021",196029,51,33,2,0,1,6,0,2,"2"
"5022",133213,48,31,2,1,0,9,0,2,"2"
"5023",185581,55,38,2,1,1,2,1,3,"3"
"5024",168901,33,12,2,0,0,6,0,1,"1"
"5025",107638,61,43,2,0,1,9,0,3,"3"
"5026",115764,63,45,2,0,1,7,0,3,"3"
"5027",142834,16,0,2,0,0,11,0,1,"1"
"5028",127270,20,2,2,1,0,11,0,1,"1"
"5029",171215,23,6,2,0,1,12,0,1,"1"
"5030",156885,29,12,2,1,1,11,0,1,"1"
"5031",154855,52,32,2,1,1,8,0,2,"2"
"5032",147477,59,38,2,0,1,7,0,3,"3"
"5033",117037,57,38,2,1,0,5,1,3,"3"
"5034",164812,53,32,2,1,0,8,0,2,"2"
"5035",171283,66,49,2,0,0,15,0,3,"3"
"5036",147230,65,48,2,1,0,4,0,3,"3"
"5037",116510,48,28,2,0,0,12,0,2,"2"
"5038",172127,52,31,2,0,0,7,0,2,"2"
"5039",101787,43,24,2,0,1,5,1,2,"2"
"5040",197533,70,52,2,0,1,5,0,3,"3"
"5041",196191,43,25,2,0,1,15,0,2,"2"
"5042",119238,60,39,2,0,0,10,0,3,"3"
"5043",114899,52,31,2,1,1,6,1,2,"2"
"5044",111460,16,0,2,0,0,15,0,1,"1"
"5045",160947,37,16,2,0,0,5,0,2,"2"
"5046",177787,25,8,2,0,0,12,0,1,"1"
"5047",116697,70,50,2,0,0,2,0,3,"3"
"5048",177652,55,37,2,0,0,0,1,3,"3"
"5049",164800,70,53,2,1,0,8,0,3,"3"
"5050",176289,33,13,2,1,1,6,0,1,"1"
"5051",166581,61,41,2,1,0,5,0,3,"3"
"5052",105242,62,44,2,1,0,8,0,3,"3"
"5053",105716,34,15,2,0,0,14,0,2,"2"
"5054",108971,65,46,2,0,0,0,0,3,"3"
"5055",165655,60,43,2,1,0,0,0,3,"3"
"5056",162354,17,0,2,0,0,11,0,1,"1"
"5057",149644,50,32,2,0,0,11,0,2,"2"
"5058",174582,19,0,2,1,1,7,1,1,"1"
"5059",192044,43,22,2,0,1,10,0,2,"2"
"5060",195553,35,16,2,1,0,8,0,2,"2"
"5061",177272,49,29,2,0,0,9,0,2,"2"
"5062",180084,40,21,2,1,1,9,0,2,"2"
"5063",138566,19,0,2,1,0,15,0,1,"1"
"5064",129758,31,13,2,0,1,15,0,1,"1"
"5065",183133,48,27,2,1,0,6,0,2,"2"
"5066",138702,22,3,2,0,0,15,0,1,"1"
"5067",173269,37,20,2,1,1,3,0,2,"2"
"5068",148089,53,36,2,0,0,11,0,3,"3"
"5069",103673,63,44,2,0,0,15,0,3,"3"
"5070",125776,20,1,2,0,1,0,1,1,"1"
"5071",103329,64,45,2,1,0,4,0,3,"3"
"5072",153588,55,38,2,1,1,7,0,3,"3"
"5073",147857,44,23,2,1,0,4,1,2,"2"
"5074",108280,17,0,2,0,1,11,0,1,"1"
"5075",178054,67,49,2,1,1,11,0,3,"3"
"5076",199869,62,43,2,0,1,0,0,3,"3"
"5077",114444,17,0,2,1,1,12,1,1,"1"
"5078",166244,70,52,2,0,0,9,0,3,"3"
"5079",178380,56,36,2,0,1,14,0,3,"3"
"5080",148945,56,36,2,1,1,8,1,3,"3"
"5081",140319,35,16,2,0,0,1,0,2,"2"
"5082",186295,19,1,2,1,1,14,1,1,"1"
"5083",196218,62,44,2,1,1,8,1,3,"3"
"5084",109243,68,50,2,1,0,11,0,3,"3"
"5085",170707,65,48,2,0,0,12,0,3,"3"
"5086",188299,27,10,2,0,0,2,1,1,"1"
"5087",144566,16,0,2,1,1,8,1,1,"1"
"5088",153295,17,0,2,0,0,6,0,1,"1"
"5089",141893,63,45,2,0,1,4,1,3,"3"
"5090",139590,16,0,2,0,0,11,0,1,"1"
"5091",188139,59,39,2,1,0,8,0,3,"3"
"5092",175486,40,20,2,1,0,2,1,2,"2"
"5093",131335,19,2,2,0,0,9,0,1,"1"
"5094",192686,58,40,2,0,1,1,0,3,"3"
"5095",114952,39,19,2,0,0,10,0,2,"2"
"5096",132264,19,1,2,1,1,10,1,1,"1"
"5097",153058,46,28,2,0,1,1,1,2,"2"
"5098",129946,31,10,2,1,1,5,1,1,"1"
"5099",175272,48,31,2,1,1,9,0,2,"2"
"5100",159958,64,47,2,0,0,1,0,3,"3"
"5101",134378,60,42,2,1,1,3,1,3,"3"
"5102",181832,43,24,2,0,1,10,0,2,"2"
"5103",182308,67,50,2,0,1,15,0,3,"3"
"5104",109003,65,44,2,1,0,9,0,3,"3"
"5105",143550,34,14,2,0,0,11,0,2,"2"
"5106",109988,59,42,2,1,0,6,0,3,"3"
"5107",115477,61,43,2,1,1,12,0,3,"3"
"5108",167861,23,4,2,1,0,2,1,1,"1"
"5109",148021,60,40,2,1,1,7,0,3,"3"
"5110",178777,17,0,2,1,0,11,0,1,"1"
"5111",139569,63,45,2,1,0,8,0,3,"3"
"5112",157957,61,44,2,0,0,4,0,3,"3"
"5113",159388,40,21,2,0,0,5,0,2,"2"
"5114",156043,16,0,2,1,1,14,1,1,"1"
"5115",196998,23,5,2,1,1,11,1,1,"1"
"5116",127394,48,29,2,1,0,14,0,2,"2"
"5117",125783,47,28,2,1,0,3,1,2,"2"
"5118",199463,60,43,2,0,1,5,0,3,"3"
"5119",160530,37,19,2,1,1,1,1,2,"2"
"5120",100488,63,44,2,1,1,3,0,3,"3"
"5121",161864,23,4,2,0,1,14,0,1,"1"
"5122",167479,19,1,2,1,1,12,1,1,"1"
"5123",197238,66,46,2,0,1,0,0,3,"3"
"5124",177755,62,41,2,0,1,13,0,3,"3"
"5125",154248,58,39,2,0,0,2,1,3,"3"
"5126",139959,21,4,2,0,1,7,0,1,"1"
"5127",161393,67,50,2,1,1,12,0,3,"3"
"5128",132798,27,6,2,0,1,7,0,1,"1"
"5129",144036,28,7,2,0,0,9,0,1,"1"
"5130",197174,57,39,2,0,1,13,0,3,"3"
"5131",133501,16,0,2,1,0,8,0,1,"1"
"5132",199634,25,7,2,0,1,12,0,1,"1"
"5133",156696,24,6,2,1,0,11,1,1,"1"
"5134",135284,30,12,2,0,0,4,0,1,"1"
"5135",180493,54,35,2,1,1,10,0,3,"3"
"5136",127836,45,25,2,0,0,1,1,2,"2"
"5137",104126,44,23,2,0,0,13,0,2,"2"
"5138",100165,24,7,2,0,1,12,0,1,"1"
"5139",178098,59,39,2,0,1,5,1,3,"3"
"5140",117861,63,43,2,0,1,5,1,3,"3"
"5141",121539,60,43,2,1,1,3,1,3,"3"
